tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,Date
2623,44:02.8,27:46.4,3209,Brunswick St,40.7241765,-74.0506564,3205,JC Medical Center,40.71653978,-74.04963791,44762,Customer,1970,0,Apr-21
215,45:45.5,49:21.1,3681,Grand St,40.71517768,-74.03768331,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,44319,Customer,1970,0,Apr-21
730,50:31.1,02:41.6,3481,York St,40.71649,-74.04105,3280,Astor Place,40.7192822,-74.07126188,27102,Customer,1970,0,Apr-21
355,51:45.2,57:40.8,3681,Grand St,40.71517768,-74.03768331,3202,Newport PATH,40.7272235,-74.0337589,32531,Customer,1970,0,Apr-21
988,54:37.2,11:05.4,3185,City Hall,40.7177325,-74.043845,3267,Morris Canal,40.71241882,-74.03852552,42625,Subscriber,1962,1,Apr-21
834,57:13.4,11:07.4,3207,Oakland Ave,40.7376037,-74.0524783,3209,Brunswick St,40.7241765,-74.0506564,48923,Customer,1970,0,Apr-21
181,02:22.3,05:24.0,3185,City Hall,40.7177325,-74.043845,3276,Marin Light Rail,40.71458404,-74.04281706,42949,Customer,1970,0,Apr-21
523,03:10.2,11:53.7,3678,Fairmount Ave,40.72572614,-74.07195926,3640,Journal Square,40.73367,-74.0625,28308,Customer,1970,0,Apr-21
175,09:59.7,12:54.7,3205,JC Medical Center,40.71653978,-74.04963791,3276,Marin Light Rail,40.71458404,-74.04281706,38392,Customer,1970,0,Apr-21
200,13:20.2,16:41.2,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3214,Essex Light Rail,40.7127742,-74.0364857,45726,Customer,1970,0,Apr-21
558,13:59.4,23:18.3,3267,Morris Canal,40.71241882,-74.03852552,3639,Harborside,40.7192517,-74.034234,42625,Subscriber,1962,1,Apr-21
683,18:04.0,29:27.9,3194,McGinley Square,40.72533993,-74.06762213,3185,City Hall,40.7177325,-74.043845,45354,Customer,1970,0,Apr-21
849,25:48.3,39:57.5,3639,Harborside,40.7192517,-74.034234,3199,Newport Pkwy,40.7287448,-74.0321082,42625,Subscriber,1962,1,Apr-21
316,26:25.8,31:42.4,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,38674,Customer,1970,0,Apr-21
420,27:33.5,34:33.5,3681,Grand St,40.71517768,-74.03768331,3202,Newport PATH,40.7272235,-74.0337589,48911,Customer,1970,0,Apr-21
299,28:05.6,33:04.8,3205,JC Medical Center,40.71653978,-74.04963791,3209,Brunswick St,40.7241765,-74.0506564,44762,Customer,1970,0,Apr-21
1836,29:55.7,00:32.3,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,42396,Subscriber,1987,1,Apr-21
201,33:38.4,37:00.1,3640,Journal Square,40.73367,-74.0625,3201,Dey St,40.737711,-74.066921,35159,Customer,1970,0,Apr-21
227,35:45.1,39:32.4,3206,Hilltop,40.7311689,-74.0575736,3209,Brunswick St,40.7241765,-74.0506564,30850,Customer,1970,0,Apr-21
295,40:23.9,45:19.4,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,48923,Customer,1970,0,Apr-21
858,41:25.4,55:43.6,3199,Newport Pkwy,40.7287448,-74.0321082,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42625,Subscriber,1962,1,Apr-21
547,44:58.7,54:05.9,3212,Christ Hospital,40.73478582,-74.05044364,3211,Newark Ave,40.72152515,-74.04630454,26913,Subscriber,1989,2,Apr-21
404,46:42.8,53:27.1,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,42232,Subscriber,1980,1,Apr-21
585,48:39.3,58:24.6,3198,Heights Elevator,40.74871595,-74.0404433,3212,Christ Hospital,40.73478582,-74.05044364,39183,Customer,1970,0,Apr-21
